#q_sq i k_sq Re(w) Im(w)
8.61954e-05 1 644947 -1.52562e-09 0
8.61954e-05 1 1e+06 -9.23426e-10 0

0.000210175 1 1e-06 0.131772 0
0.000210175 1 1.55052e-06 0.132046 0
0.000210175 1 2.4041e-06 0.132879 0
0.000210175 1 3.72759e-06 0.132587 0
0.000210175 1 5.77969e-06 0.133516 0
0.000210175 1 8.96151e-06 0.132393 0
0.000210175 1 1.3895e-05 0.132723 0
0.000210175 1 2.15443e-05 0.132858 0
0.000210175 1 3.34048e-05 0.133039 0
0.000210175 1 5.17947e-05 0.132459 0
0.000210175 1 8.03086e-05 0.132557 0
0.000210175 1 0.00012452 0.13291 0
0.000210175 1 0.00019307 0.132404 0
0.000210175 1 0.000299358 0.132557 0
0.000210175 1 0.000464159 0.131935 0
0.000210175 1 0.000719686 0.1321 0
0.000210175 1 0.00111588 0.131426 0
0.000210175 1 0.0017302 0.130374 0
0.000210175 1 0.0026827 0.129231 0
0.000210175 1 0.00415956 0.128099 0
0.000210175 1 0.00644947 0.126849 0
0.000210175 1 0.01 0.122921 0
0.000210175 1 0.0155052 0.11513 0
0.000210175 1 0.024041 0.104099 0
0.000210175 1 0.0372759 0.0883642 0
0.000210175 1 0.0577969 0.0660135 0
0.000210175 1 0.0896151 0.0348914 0
0.000210175 1 0.13895 -0.00666168 0
0.000210175 1 0.215443 -0.0580301 0
0.000210175 1 0.334048 -0.113222 0
0.000210175 1 0.517947 -0.157942 0
0.000210175 1 0.803086 -0.17255 0
0.000210175 1 1.2452 -0.151308 0
0.000210175 1 1.9307 -0.0970662 0
0.000210175 1 2.99358 -0.0527578 0
0.000210175 1 4.64159 -0.0265087 0
0.000210175 1 7.19686 -0.0128185 0
0.000210175 1 11.1588 -0.00604512 0
0.000210175 1 17.302 -0.0028085 0
0.000210175 1 26.827 -0.00129721 0
0.000210175 1 41.5956 -0.000600519 0
0.000210175 1 64.4947 -0.000280605 0
0.000210175 1 100 -0.000134434 0
0.000210175 1 155.052 -6.83809e-05 0
0.000210175 1 240.41 -3.27801e-05 0
0.000210175 1 372.759 -1.48445e-05 0
0.000210175 1 577.969 -6.9377e-06 0
0.000210175 1 896.151 -3.76268e-06 0
0.000210175 1 1389.5 -2.17744e-06 0
0.000210175 1 2154.43 -1.24608e-06 0
0.000210175 1 3340.48 -7.30385e-07 0
0.000210175 1 5179.47 -4.29994e-07 0
0.000210175 1 8030.86 -2.50049e-07 0
0.000210175 1 12452 -1.48629e-07 0
0.000210175 1 19307 -8.86924e-08 0
0.000210175 1 29935.8 -5.23609e-08 0
0.000210175 1 46415.9 -3.14881e-08 0
0.000210175 1 71968.6 -1.8749e-08 0
0.000210175 1 111588 -1.13496e-08 0
0.000210175 1 173020 -6.80908e-09 0
0.000210175 1 268270 -4.13208e-09 0
0.000210175 1 415956 -2.48954e-09 0
0.000210175 1 644947 -1.52562e-09 0
0.000210175 1 1e+06 -9.23426e-10 0

