#q_sq i k_sq z Re(w) Im(w)
1e-06 2 0.0577969 0.617876 -1.02566 0
1e-06 2 0.0577969 0.755404 -1.02566 0
1e-06 2 0.0577969 0.865631 -1.02566 0
1e-06 2 0.0577969 0.944575 -1.02566 0
1e-06 2 0.0577969 0.989401 -1.02566 0
1e-06 2 0.0896151 -0.989401 -1.00192 0
1e-06 2 0.0896151 -0.944575 -1.00192 0
1e-06 2 0.0896151 -0.865631 -1.00192 0
1e-06 2 0.0896151 -0.755404 -1.00192 0
1e-06 2 0.0896151 -0.617876 -1.00192 0
1e-06 2 0.0896151 -0.458017 -1.00192 0
1e-06 2 0.0896151 -0.281604 -1.00192 0
1e-06 2 0.0896151 -0.0950125 -1.00192 0
1e-06 2 0.0896151 0.0950125 -1.00192 0
1e-06 2 0.0896151 0.281604 -1.00192 0
1e-06 2 0.0896151 0.458017 -1.00192 0
1e-06 2 0.0896151 0.617876 -1.00192 0
1e-06 2 0.0896151 0.755404 -1.00192 0
1e-06 2 0.0896151 0.865631 -1.00192 0
1e-06 2 0.0896151 0.944575 -1.00192 0
1e-06 2 0.0896151 0.989401 -1.00192 0
1e-06 2 0.13895 -0.989401 -0.955156 0
1e-06 2 0.13895 -0.944575 -0.955156 0
1e-06 2 0.13895 -0.865631 -0.955156 0
1e-06 2 0.13895 -0.755404 -0.955156 0
1e-06 2 0.13895 -0.617876 -0.955156 0
1e-06 2 0.13895 -0.458017 -0.955156 0
1e-06 2 0.13895 -0.281604 -0.955156 0
1e-06 2 0.13895 -0.0950125 -0.955156 0
1e-06 2 0.13895 0.0950125 -0.955156 0
1e-06 2 0.13895 0.281604 -0.955156 0
1e-06 2 0.13895 0.458017 -0.955156 0
1e-06 2 0.13895 0.617876 -0.955156 0
1e-06 2 0.13895 0.755404 -0.955156 0
1e-06 2 0.13895 0.865631 -0.955156 0
1e-06 2 0.13895 0.944575 -0.955156 0
1e-06 2 0.13895 0.989401 -0.955156 0
1e-06 2 0.215443 -0.989401 -0.870202 0
1e-06 2 0.215443 -0.944575 -0.870202 0
1e-06 2 0.215443 -0.865631 -0.870202 0
1e-06 2 0.215443 -0.755404 -0.870202 0
1e-06 2 0.215443 -0.617876 -0.870202 0
1e-06 2 0.215443 -0.458017 -0.870202 0
1e-06 2 0.215443 -0.281604 -0.870202 0
1e-06 2 0.215443 -0.0950125 -0.870202 0
1e-06 2 0.215443 0.0950125 -0.870202 0
1e-06 2 0.215443 0.281604 -0.870202 0
1e-06 2 0.215443 0.458017 -0.870202 0
1e-06 2 0.215443 0.617876 -0.870202 0
1e-06 2 0.215443 0.755404 -0.870202 0
1e-06 2 0.215443 0.865631 -0.870202 0
1e-06 2 0.215443 0.944575 -0.870202 0
1e-06 2 0.215443 0.989401 -0.870202 0
1e-06 2 0.334048 -0.989401 -0.734227 0
1e-06 2 0.334048 -0.944575 -0.734227 0
1e-06 2 0.334048 -0.865631 -0.734227 0
1e-06 2 0.334048 -0.755404 -0.734227 0
1e-06 2 0.334048 -0.617876 -0.734227 0
1e-06 2 0.334048 -0.458017 -0.734227 0
1e-06 2 0.334048 -0.281604 -0.734227 0
1e-06 2 0.334048 -0.0950125 -0.734227 0
1e-06 2 0.334048 0.0950125 -0.734227 0
1e-06 2 0.334048 0.281604 -0.734227 0
1e-06 2 0.334048 0.458017 -0.734227 0
1e-06 2 0.334048 0.617876 -0.734227 0
1e-06 2 0.334048 0.755404 -0.734227 0
1e-06 2 0.334048 0.865631 -0.734227 0
1e-06 2 0.334048 0.944575 -0.734227 0
1e-06 2 0.334048 0.989401 -0.734227 0
1e-06 2 0.517947 -0.989401 -0.551599 0
1e-06 2 0.517947 -0.944575 -0.551599 0
1e-06 2 0.517947 -0.865631 -0.551599 0
1e-06 2 0.517947 -0.755404 -0.551599 0
1e-06 2 0.517947 -0.617876 -0.551599 0
1e-06 2 0.517947 -0.458017 -0.551599 0
1e-06 2 0.517947 -0.281604 -0.551599 0
1e-06 2 0.517947 -0.0950125 -0.551599 0
1e-06 2 0.517947 0.0950125 -0.551599 0
1e-06 2 0.517947 0.281604 -0.551599 0
1e-06 2 0.517947 0.458017 -0.551599 0
1e-06 2 0.517947 0.617876 -0.551599 0
1e-06 2 0.517947 0.755404 -0.551599 0
1e-06 2 0.517947 0.865631 -0.551599 0
1e-06 2 0.517947 0.944575 -0.551599 0
1e-06 2 0.517947 0.989401 -0.551599 0
1e-06 2 0.803086 -0.989401 -0.353526 0
1e-06 2 0.803086 -0.944575 -0.353526 0
1e-06 2 0.803086 -0.865631 -0.353526 0
1e-06 2 0.803086 -0.755404 -0.353526 0
1e-06 2 0.803086 -0.617876 -0.353526 0
1e-06 2 0.803086 -0.458017 -0.353526 0
1e-06 2 0.803086 -0.281604 -0.353526 0
1e-06 2 0.803086 -0.0950125 -0.353526 0
1e-06 2 0.803086 0.0950125 -0.353526 0
1e-06 2 0.803086 0.281604 -0.353526 0
1e-06 2 0.803086 0.458017 -0.353526 0
1e-06 2 0.803086 0.617876 -0.353526 0
1e-06 2 0.803086 0.755404 -0.353526 0
1e-06 2 0.803086 0.865631 -0.353526 0
