#q_sq i k_sq Re(w) Im(w)
0.00304699 0 0.13895 1.59615 0
0.00304699 0 0.215443 1.58509 0
0.00304699 0 0.334048 1.56102 0
0.00304699 0 0.517947 1.52028 0
0.00304699 0 0.803086 1.46486 0
0.00304699 0 1.2452 1.40124 0
0.00304699 0 1.9307 1.33411 0
0.00304699 0 2.99358 1.26478 0
0.00304699 0 4.64159 1.19494 0
0.00304699 0 7.19686 1.12971 0
0.00304699 0 11.1588 1.07741 0
0.00304699 0 17.302 1.04413 0
0.00304699 0 26.827 1.02729 0
0.00304699 0 41.5956 1.01842 0
0.00304699 0 64.4947 1.01204 0
0.00304699 0 100 1.00679 0
0.00304699 0 155.052 1.00237 0
0.00304699 0 240.41 0.998592 0
0.00304699 0 372.759 0.995333 0
0.00304699 0 577.969 0.99249 0
0.00304699 0 896.151 0.989988 0
0.00304699 0 1389.5 0.987768 0
0.00304699 0 2154.43 0.985783 0
0.00304699 0 3340.48 0.983999 0
0.00304699 0 5179.47 0.982386 0
0.00304699 0 8030.86 0.98092 0
0.00304699 0 12452 0.979581 0
0.00304699 0 19307 0.978354 0
0.00304699 0 29935.8 0.977224 0
0.00304699 0 46415.9 0.976182 0
0.00304699 0 71968.6 0.975216 0
0.00304699 0 111588 0.97432 0
0.00304699 0 173020 0.973485 0
0.00304699 0 268270 0.972705 0
0.00304699 0 415956 0.971975 0
0.00304699 0 644947 0.971291 0
0.00304699 0 1e+06 0.970649 0

0.00742964 0 1e-06 1.59318 0
0.00742964 0 1.55052e-06 1.59318 0
0.00742964 0 2.4041e-06 1.59318 0
0.00742964 0 3.72759e-06 1.59318 0
0.00742964 0 5.77969e-06 1.59318 0
0.00742964 0 8.96151e-06 1.59318 0
0.00742964 0 1.3895e-05 1.59318 0
0.00742964 0 2.15443e-05 1.59318 0
0.00742964 0 3.34048e-05 1.59318 0
0.00742964 0 5.17947e-05 1.59319 0
0.00742964 0 8.03086e-05 1.59319 0
0.00742964 0 0.00012452 1.5932 0
0.00742964 0 0.00019307 1.59321 0
