#q_sq i k_sq z Re(w) Im(w)
1e-06 1 0.024041 0.755404 0.126283 0
1e-06 1 0.024041 0.865631 0.126283 0
1e-06 1 0.024041 0.944575 0.126283 0
1e-06 1 0.024041 0.989401 0.126283 0
1e-06 1 0.0372759 -0.989401 0.0895138 0
1e-06 1 0.0372759 -0.944575 0.0895138 0
1e-06 1 0.0372759 -0.865631 0.0895138 0
1e-06 1 0.0372759 -0.755404 0.0895138 0
1e-06 1 0.0372759 -0.617876 0.0895138 0
1e-06 1 0.0372759 -0.458017 0.0895138 0
1e-06 1 0.0372759 -0.281604 0.0895137 0
1e-06 1 0.0372759 -0.0950125 0.0895137 0
1e-06 1 0.0372759 0.0950125 0.0895137 0
1e-06 1 0.0372759 0.281604 0.0895137 0
1e-06 1 0.0372759 0.458017 0.0895138 0
1e-06 1 0.0372759 0.617876 0.0895138 0
1e-06 1 0.0372759 0.755404 0.0895138 0
1e-06 1 0.0372759 0.865631 0.0895138 0
1e-06 1 0.0372759 0.944575 0.0895138 0
1e-06 1 0.0372759 0.989401 0.0895138 0
1e-06 1 0.0577969 -0.989401 0.038532 0
1e-06 1 0.0577969 -0.944575 0.038532 0
1e-06 1 0.0577969 -0.865631 0.038532 0
1e-06 1 0.0577969 -0.755404 0.038532 0
1e-06 1 0.0577969 -0.617876 0.0385319 0
1e-06 1 0.0577969 -0.458017 0.0385319 0
1e-06 1 0.0577969 -0.281604 0.0385319 0
1e-06 1 0.0577969 -0.0950125 0.0385319 0
1e-06 1 0.0577969 0.0950125 0.0385319 0
1e-06 1 0.0577969 0.281604 0.0385319 0
1e-06 1 0.0577969 0.458017 0.0385319 0
1e-06 1 0.0577969 0.617876 0.0385319 0
1e-06 1 0.0577969 0.755404 0.038532 0
1e-06 1 0.0577969 0.865631 0.038532 0
1e-06 1 0.0577969 0.944575 0.038532 0
1e-06 1 0.0577969 0.989401 0.038532 0
1e-06 1 0.0896151 -0.989401 -0.0275303 0
1e-06 1 0.0896151 -0.944575 -0.0275303 0
1e-06 1 0.0896151 -0.865631 -0.0275303 0
1e-06 1 0.0896151 -0.755404 -0.0275304 0
1e-06 1 0.0896151 -0.617876 -0.0275304 0
1e-06 1 0.0896151 -0.458017 -0.0275305 0
1e-06 1 0.0896151 -0.281604 -0.0275305 0
1e-06 1 0.0896151 -0.0950125 -0.0275305 0
1e-06 1 0.0896151 0.0950125 -0.0275305 0
1e-06 1 0.0896151 0.281604 -0.0275305 0
1e-06 1 0.0896151 0.458017 -0.0275305 0
1e-06 1 0.0896151 0.617876 -0.0275304 0
1e-06 1 0.0896151 0.755404 -0.0275304 0
1e-06 1 0.0896151 0.865631 -0.0275303 0
1e-06 1 0.0896151 0.944575 -0.0275303 0
1e-06 1 0.0896151 0.989401 -0.0275303 0
1e-06 1 0.13895 -0.989401 -0.103914 0
1e-06 1 0.13895 -0.944575 -0.103914 0
1e-06 1 0.13895 -0.865631 -0.103914 0
1e-06 1 0.13895 -0.755404 -0.103914 0
1e-06 1 0.13895 -0.617876 -0.103914 0
1e-06 1 0.13895 -0.458017 -0.103914 0
1e-06 1 0.13895 -0.281604 -0.103914 0
1e-06 1 0.13895 -0.0950125 -0.103915 0
1e-06 1 0.13895 0.0950125 -0.103915 0
1e-06 1 0.13895 0.281604 -0.103914 0
1e-06 1 0.13895 0.458017 -0.103914 0
1e-06 1 0.13895 0.617876 -0.103914 0
1e-06 1 0.13895 0.755404 -0.103914 0
1e-06 1 0.13895 0.865631 -0.103914 0
1e-06 1 0.13895 0.944575 -0.103914 0
1e-06 1 0.13895 0.989401 -0.103914 0
1e-06 1 0.215443 -0.989401 -0.175919 0
1e-06 1 0.215443 -0.944575 -0.175919 0
1e-06 1 0.215443 -0.865631 -0.175919 0
1e-06 1 0.215443 -0.755404 -0.175919 0
1e-06 1 0.215443 -0.617876 -0.175919 0
1e-06 1 0.215443 -0.458017 -0.175919 0
1e-06 1 0.215443 -0.281604 -0.175919 0
1e-06 1 0.215443 -0.0950125 -0.175919 0
1e-06 1 0.215443 0.0950125 -0.175919 0
1e-06 1 0.215443 0.281604 -0.175919 0
1e-06 1 0.215443 0.458017 -0.175919 0
1e-06 1 0.215443 0.617876 -0.175919 0
1e-06 1 0.215443 0.755404 -0.175919 0
1e-06 1 0.215443 0.865631 -0.175919 0
1e-06 1 0.215443 0.944575 -0.175919 0
1e-06 1 0.215443 0.989401 -0.175919 0
1e-06 1 0.334048 -0.989401 -0.219499 0
1e-06 1 0.334048 -0.944575 -0.219499 0
1e-06 1 0.334048 -0.865631 -0.219499 0
1e-06 1 0.334048 -0.755404 -0.219499 0
1e-06 1 0.334048 -0.617876 -0.219499 0
1e-06 1 0.334048 -0.458017 -0.219499 0
1e-06 1 0.334048 -0.281604 -0.219499 0
1e-06 1 0.334048 -0.0950125 -0.219499 0
1e-06 1 0.334048 0.0950125 -0.219499 0
1e-06 1 0.334048 0.281604 -0.219499 0
1e-06 1 0.334048 0.458017 -0.219499 0
1e-06 1 0.334048 0.617876 -0.219499 0
1e-06 1 0.334048 0.755404 -0.219499 0
1e-06 1 0.334048 0.865631 -0.219499 0
1e-06 1 0.334048 0.944575 -0.219499 0
1e-06 1 0.334048 0.989401 -0.219499 0
1e-06 1 0.517947 -0.989401 -0.215627 0
1e-06 1 0.517947 -0.944575 -0.215627 0
1e-06 1 0.517947 -0.865631 -0.215627 0
1e-06 1 0.517947 -0.755404 -0.215627 0
1e-06 1 0.517947 -0.617876 -0.215627 0
1e-06 1 0.517947 -0.458017 -0.215627 0
1e-06 1 0.517947 -0.281604 -0.215627 0
1e-06 1 0.517947 -0.0950125 -0.215627 0
1e-06 1 0.517947 0.0950125 -0.215627 0
1e-06 1 0.517947 0.281604 -0.215627 0
1e-06 1 0.517947 0.458017 -0.215627 0
1e-06 1 0.517947 0.617876 -0.215627 0
1e-06 1 0.517947 0.755404 -0.215627 0
1e-06 1 0.517947 0.865631 -0.215627 0
1e-06 1 0.517947 0.944575 -0.215627 0
1e-06 1 0.517947 0.989401 -0.215627 0
1e-06 1 0.803086 -0.989401 -0.172312 0
1e-06 1 0.803086 -0.944575 -0.172312 0
1e-06 1 0.803086 -0.865631 -0.172312 0
1e-06 1 0.803086 -0.755404 -0.172312 0
1e-06 1 0.803086 -0.617876 -0.172312 0
1e-06 1 0.803086 -0.458017 -0.172312 0
1e-06 1 0.803086 -0.281604 -0.172312 0
1e-06 1 0.803086 -0.0950125 -0.172312 0
1e-06 1 0.803086 0.0950125 -0.172312 0
1e-06 1 0.803086 0.281604 -0.172312 0
1e-06 1 0.803086 0.458017 -0.172312 0
1e-06 1 0.803086 0.617876 -0.172312 0
1e-06 1 0.803086 0.755404 -0.172312 0
1e-06 1 0.803086 0.865631 -0.172312 0
1e-06 1 0.803086 0.944575 -0.172312 0
1e-06 1 0.803086 0.989401 -0.172312 0
1e-06 1 1.2452 -0.989401 -0.120518 0
1e-06 1 1.2452 -0.944575 -0.120518 0
1e-06 1 1.2452 -0.865631 -0.120518 0
1e-06 1 1.2452 -0.755404 -0.120518 0
1e-06 1 1.2452 -0.617876 -0.120518 0
1e-06 1 1.2452 -0.458017 -0.120518 0
1e-06 1 1.2452 -0.281604 -0.120518 0
1e-06 1 1.2452 -0.0950125 -0.120518 0
1e-06 1 1.2452 0.0950125 -0.120518 0
1e-06 1 1.2452 0.281604 -0.120518 0
1e-06 1 1.2452 0.458017 -0.120518 0
1e-06 1 1.2452 0.617876 -0.120518 0
1e-06 1 1.2452 0.755404 -0.120518 0
1e-06 1 1.2452 0.865631 -0.120518 0
1e-06 1 1.2452 0.944575 -0.120518 0
1e-06 1 1.2452 0.989401 -0.120518 0
1e-06 1 1.9307 -0.989401 -0.0807303 0
1e-06 1 1.9307 -0.944575 -0.0807303 0
